name,action
"EMPLOYEE"	,"Edit"
"EMPLOYEE"	,"Delete"
"EMPLOYEE"	,"Create"
"EMPLOYEE"	,"View"
"EMPLOYEES"	,"View"
"USER_PERMISSION"	,"Edit"
"USER_PERMISSION"	,"Delete"
"USER_PERMISSION"	,"Create"
"USER_PERMISSION"	,"View"
"USER_PERMISSIONS"	,"View"
"ROLE_PERMISSION"	,"Edit"
"ROLE_PERMISSION"	,"Delete"
"ROLE_PERMISSION"	,"Create"
"ROLE_PERMISSION"	,"View"
"ROLE_PERMISSIONS"	,"View"
"REVENUE_DAY"	,"View"
"REVENUE_MONTH"	,"View"
"REVENUE_QUATER"	,"View"
"REVENUE_YEAR"	,"View"
"USER_PROFILE"	,"Edit"
"USER_PROFILE"	,"View"
"CHANGE_PASSWORD"	,"Edit"
"FORGOT_PASSWORD"	,"Edit"
"SHOE"	,"Edit"
"SHOE"	,"Delete"
"SHOE"	,"Create"
"SHOE"	,"View"
"SHOES"	,"View"
"VOUCHER"	,"Edit"
"VOUCHER"	,"Delete"
"VOUCHER"	,"Create"
"VOUCHER"	,"View"
"VOUCHER"	,"View"
"ORDER_FROM_CUSTOMER"	,"View"
"ORDER_FROM_CUSTOMER"	,"Edit"
"ORDER_FROM_CUSTOMER"	,"Delete"
"CODE_PAYMENT"	,"Create"
"CODE_PAYMENT"	,"View"
"VERIFY_PAYMENT"	,"Create"
"SHIPPER"	,"Edit"
"SHIPPER"	,"Delete"
"SHIPPER"	,"Create"
"SHIPPER"	,"View"
"SHIPPERS"	,"View"
"SHIPPER_STATUS"	,"View"
"FEEDBACK"	,"Edit"
"FEEDBACK"	,"Delete"
"FEEDBACK"	,"Create"
"FEEDBACK"	,"View"
"CART"	,"Edit"
"CART"	,"Delete"
"CART"	,"Create"
"CART"	,"View"
"FAVOURITE_LIST"	,"Edit"
"FAVOURITE_LIST"	,"Delete"
"FAVOURITE_LIST"	,"Create"
"FAVOURITE_LIST"	,"View"
"SEARCH_SHOE"	,"Create"
"SEARCH_SHOE"	,"View"
"ORDER"	,"Edit"
"ORDER"	,"Delete"
"ORDER"	,"Create"
"ORDER"	,"View"
"PAYMENT"	,"Create"
"PAYMENT"	,"View"
